Permit..,EPA.ID,Expire.Date,Facility.Name,Permit.Type,Class,SIC.Code,County,Region,Section,Town,Range,Latitude,Longitude,FAC.DES.BASIN,Design,Treatment.Type,X1st.Outfall..,X1st.Outfl.Name,Lat,Long,X2nd.Outfall..,X2nd.Outfl.Name,Lat.1,Long.1,X3rd.Outfall..,X3rd.Outfl.Name,Lat.2,Long.2,X4th.Outfall..,X4th.Outfl.Name,Lat.3,Long.3,X5th.Outfall..,X5th.Outfl.Name,Lat.4,Long.4,X6th.Outfall..,X6th.Outfl.Name,Lat.5,Long.5,X7th.Outfall..,X7th.Outfl.Name,Lat.6,Long.6
2503001,41921,9/30/2019,ADEL CITY OF STP,MUNICIPAL,MAJOR,4952,Dallas,5,33,79,27,41.60353,-94.00302,NORTH RACCOON R,1,AERATED LAGOON,1,DIFFUSER DISCHARGE FROM A THREE CELL AERATED LAGOON WASTEWATER TREATMENT FACILITY.,41.60363,-93.99837,NA,,,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,,
5502001,22055,8/19/2006,ALGONA CITY OF STP,MUNICIPAL,MAJOR,4952,Kossuth,2,10,95,29,43.06489,-94.24757,EAST FORK DES MOINES R,2,TRICKLING FILTER,1,DISCHARGE FROM A TRICKLING FILTER WASTEWATER TREATMENT FACILITY,43.06444,-94.24861,2,BUTTERFLY VALVE BYPASS PRIOR TO SCREEN HOUSE.,43.06444,-94.24806,NA,,,,NA,,,,NA,,,,NA,,,,NA,,,
8503001,35955,8/31/2015,AMES WATER POLLUTION CONTROL FACILITY,MUNICIPAL,MAJOR,4952,Story,5,31,83,23,41.95065,-93.56506,SKUNK R ABOVE THE NORTH SKUNK,1,TRICKLING FILTER,1, DISCHARGE FROM TRICKLING FILTER/SOLIDS CONTACT WASTEWATER TREATMENT FACILITY.,41.95639,-93.55611,3,BYPASS AT THE INVERTED SIPHON LOCATED ON SQUAW CREEK EAST OF DUFF AVENUE.,-,-,4,BYPASS AT THE ORCHARD DRIVE LIFT STATION.,-,-,5,BYPASS AT EQUALIZATION BASIN.,-,-,NA,,,,NA,,,,NA,,,
5307001,25895,11/30/2019,ANAMOSA CITY OF STP,MUNICIPAL,MAJOR,4952,Jones,1,10,84,4,42.10149,-91.2908,WAPSIPINICON R BELOW ANAMOSA,2,ACTIVATED SLUDGE,1,DISCHARGE FROM AN ACTIVATED SLUDGE WASTEWATER TREATMENT FACILITY.,42.10055,-91.29054,2,BYPASS LOCATED AT THE HEAD OF THE PLANT.,42.10055,-91.29057,4,BYPASS AT SEWER OVERFLOW ON ROLAND STREET,42.10526,-91.27811,5,BYPASS ON 2ND STREET NEXT TO 2ND STREET LIFT STATION.,42.10506,-91.28094,NA,,,,NA,,,,NA,,,
1509001,29025,11/30/2018,ATLANTIC CITY OF STP,MUNICIPAL,MAJOR,4952,Cass,4,6,76,36,41.40764,-95.0285,EAST NISHNABOTNA R,2,SEQUENCING BATCH REACTOR,3,DISCHARGE FROM AN ACTIVATED SLUDGE WASTEWATER TREATMENT FACILITY,41.40834,-95.0292,4,BYPASS FROM THE EQUALIZATION BASIN OVERFLOW STRUCTURE,-,-,NA,,,,NA,,,,NA,,,,NA,,,,NA,,,
819001,58076,4/30/2019,BOONE CITY OF STP,MUNICIPAL,MAJOR,4952,Boone,5,33,84,26,42.04122,-93.89071,DES MOINES R BELOW THE EAST FORK DES MOINES,1,ACTIVATED SLUDGE,1, DISCHARGE FROM AN ACTIVATED SLUDGE WASTEWATER TREATMENT FACILITY.,42.0407,-93.89076,NA,,,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,,
4103001,23582,10/31/2020,BRITT CITY OF STP,MUNICIPAL,MAJOR,4952,Hancock,2,33,96,25,43.08849,-93.81259,BOONE R,1,TRICKLING FILTER,1,DISCHARGE FROM A TRICKLING FILTER WASTEWATER TREATMENT FACILITY.,43.08805,-93.81233,2, BYPASS LOCATED IN MANHOLE PRECEDING THE TREATMENT PLANT INFLUENT STRUCTURE.,43.08789,-93.81245,NA,,,,NA,,,,NA,,,,NA,,,,NA,,,
2909001,43079,5/31/2021,BURLINGTON CITY OF STP,MUNICIPAL,MAJOR,4952,Des Moines,6,4,69,2,40.79864,-91.09842,FLINT R,1,ACTIVATED SLUDGE,1, DISCHARGE FROM AN ACTIVATED SLUDGE WASTEWATER TREATMENT FACILITY.,40.79833,-91.09639,5, COMBINED SEWER OVERFLOW LOCATED IN MANHOLE AT EAST END OF HARRISON STREET,40.78917,-91.09417,11," BYPASS AT SANITARY SEWER OVERFLOW FROM GUNNISON, BURLINGTON NORTHERN, LUCAS/MT. PLEASANT, AND BROOKS STREET LINES",-,-,12,COMBINED SEWER OVERFLOW OF MARKET STREET BOX SEWER,40.8075,-91.09944,13," COMBINED SEWER OVERFLOW OF BONN'S HOLLOW BOX SEWER LOCATED E. OF MAIN STREET, S. OF SOUTH STREET",40.79833,-91.09722,15," COMBINED SEWER OVERFLOW IN MANHOLE ON LOCUST STREET, 1/2 BLOCK W. OF MAIN STREET",40.80111,-91.09861,16, COMBINED SEWER OVERFLOW OF ANGULAR STREET BOX SEWER AT ANGULAR & MAIN STREETS,40.80361,-91.09917
9113001,24554,10/7/2013,CARLISLE CITY OF STP,MUNICIPAL,MAJOR,4952,Warren,5,2,77,23,41.50458,-93.47692,DES MOINES R BELOW THE RACCOON TO WHITEBREAST CR,1,AERATED LAGOON,1, DISCHARGE FROM A THREE CELL AERATED LAGOON WASTEWATER TREATMENT FACILITY.,41.5125,-93.4452,2, SANITARY SEWER OVERFLOW LOCATED AT THE RIDGE ROAD LIFT STATION,41.5084,-93.49273,3, JEFFERSON STREET LIFT STATION BYPASS (NORTH OF CELL # 4),41.50547,-93.4769,4, SANITARY SEWER OVERFLOW LOCATED AT THE 630 9TH STREET LIFT STATION,41.50732,-93.49887,NA,,,,NA,,,,NA,,,
1415001,21377,10/31/2021,"CARROLL, CITY OF STP",MUNICIPAL,MAJOR,4952,Carroll,4,30,84,34,42.05698,-94.84555,MIDDLE AND SOUTH RACCOON RS,1,ACTIVATED SLUDGE,1,DISCHARGE FROM A VERTICAL LOOP REACTOR WASTEWATER TREATMENT FACILITY,42.05642,-94.84051,2," INTERIM: DISCHARGE FROM A TRICKLING FILTER WASTEWATER TREATMENT FACILITY (Interim monitoring specified in this permit for outfall 002 apply until June 30, 2005).",42.05725,-94.84345,3,"OVERFLOW LOCATED AT THE INFLUENT STRUCTURE, TO BE ABANDONED BY MARCH 15. 2005.",-,-,4,"SIXTH STREET COLLECTION SYSTEM BYPASS, TO BE ABANDONED BY MARCH 15, 2005.",-,-,5," FOURTH STREET MANHOLE OVERFLOW, TO BE ABANDONED BY MARCH 15, 2005.",-,-,6,BYPASS LOCATED AT THE OVERFLOW FROM THE FLOW EQUALIZATION BASIN,-,-,NA,,,
