"V1","V2"
-92.868,40.7247
-92.823,40.7106
-92.8852,40.7368
-91.7637,42.3944
-91.8877,42.4725
-91.7311,42.3217
-91.8869,42.4806
-92.4596,42.5232
-92.341,42.465
-92.4418,42.5019
-92.3755,42.5312
-92.35,42.46
-92.4536,42.5295
-92.397,42.4494
-92.2253,42.4307
-92.3631,42.4802
-92.3272,42.4823
-92.4792,42.7373
-93.776,42.0224
-94.01,42.02
-93.9498,42.0913
-93.813,41.872
-93.9619,42.0315
-93.8752,41.9484
-91.9301,41.9033
-91.8549,41.9902
-92.1064,42.2868
-91.8366,41.9618
-91.9066,42.2243
-92.6428,42.9063
-93.0071,42.6807
-92.6713,42.7826
-95.2098,42.6008
-95.2999,42.6695
-95.4287,42.1655
-95.2664,41.9774
-95.5098,42.0517
-93.2243,43.152
-93.1378,43.1608
-93.208,43.1328
-93.3159,42.9771
-94.5193,42.5429
-95.7182,42.8747
-95.5485,42.742
-95.7024,42.8475
-93.8175,41.0167
-93.9496,41.0483
-93.9805,41.0413
-90.5731,41.8292
-90.7275,41.8436
-90.2751,41.8001
-90.2069,41.8328
-90.6399,42.0237
-90.2252,41.8398
-90.5439,41.8339
-90.8171,41.9625
-90.4067,41.8772
-95.0812,41.9065
-94.872,42.0539
-95.0006,41.9024
-94.6738,42.1344
-95.0608,41.9078
-95.0061,41.39
-94.7199,41.4211
-95.0448,41.4211
-94.965,41.4943
-91.1821,43.0453
-92.318,43.0358
-92.3204,43.0553
-92.3159,43.0643
-95.3261,43.1584
-95.1438,43.1521
-95.1486,43.1538
-90.6707,42.5045
-90.6853,42.55
-90.8385,42.4446
-90.7942,42.4439
-90.7754,42.5209
-90.7164,42.4981
-90.7653,42.5112
-93.7822,40.6597
-94.9536,43.2727
-95.3079,43.403
-95.1605,43.3252
-95.3251,43.4516
-93.9055,41.7168
-93.9675,41.6884
-93.879,41.6023
-93.97,41.7642
-94.2715,41.7032
-93.9635,41.7392
-93.8736,41.6085
-94.0567,41.7459
-93.84,41.613
-93.8683,41.6096
-93.9083,41.7032
-93.855,41.6265
-91.1458,40.9008
-91.1629,40.8262
-91.1279,40.8394
-91.1629,40.8261
-91.1897,40.7296
-91.115,40.7983
-92.4543,40.6262
-91.4515,42.4946
-91.341,42.3042
-94.689,43.3204
-94.6593,43.2965
-92.994,43.1112
-95.607,40.8136
-93.3402,42.7846
-91.8102,42.9613
-91.9289,42.6785
-92.0271,43.0087
-92.035,43.0578
-94.4668,42.1807
-94.3801,42.0172
-94.4747,42.1397
-94.3093,41.7991
-94.6428,41.562
-94.431,41.8458
-94.1918,42.7376
-93.3783,42.5144
-93.0782,42.3652
-93.824,42.4675
-93.8036,43.107
-95.7684,41.8413
-95.7979,41.6654
-95.5722,41.5495
-95.876,41.7138
-95.6442,41.7626
-96.0312,41.6858
-95.8844,41.5884
-95.9344,41.5504
-95.781,41.5882
-96.0991,41.8521
-91.4293,40.9142
-91.5638,40.9153
-91.3985,40.9239
-91.5647,40.8589
-92.0551,41.5866
-92.0847,41.7621
-91.965,41.8074
-92.0054,41.5824
-95.3628,42.283
-90.2569,42.0857
-90.8795,42.0815
-90.8817,42.0785
-90.4311,42.255
-90.5924,42.1527
-91.9664,40.9972
-91.4891,41.804
-91.5248,41.6728
-91.5921,41.7465
-91.7451,41.5877
-91.6289,41.7067
-91.6398,41.7493
-91.6921,41.8483
-91.5609,41.6546
-91.603,41.6702
-91.3019,42.0763
-91.1405,42.113
-92.9439,41.5384
-92.9444,41.7026
-92.2916,41.4087
-92.2281,41.3371
-94.2221,43.0663
-93.3712,40.9183
-91.4357,40.5886
-91.4857,40.5176
-91.3022,40.631
-91.3968,40.4166
-91.3408,40.629
-91.4189,40.5297
-91.5623,40.7845
-91.5807,41.8705
-91.7099,42.0125
-91.6339,41.9864
-91.6543,42.1983
-91.5743,42.0478
-91.6079,41.977
-91.6803,42.0751
-91.4453,42.058
-91.6663,42.0734
-91.8146,42.0025
-91.6072,42.0552
-91.7826,42.1932
-91.6326,42.0007
-91.7063,41.9568
-91.5482,42.0482
-91.8701,42.0509
-96.3266,43.4393
-96.156,43.4689
-92.9355,41.392
-92.9075,41.4029
-92.9196,41.4223
-92.939,41.3903
-92.9207,41.4225
-91.0575,41.4541
-91.0711,41.4382
-91.335,41.4379
-94.0229,41.3408
-94.1599,41.4964
-94.0197,41.3402
-92.6504,41.274
-92.4975,41.3719
-95.5861,41.0086
-96.0897,41.9408
-92.7111,41.0624
-92.8861,42.0435
-93.1702,42.017
-92.9349,42.0528
-95.3834,41.0752
-95.4328,43.4473
-94.4477,42.9561
-94.9015,43.1273
-94.554,42.9631
-94.8527,42.8495
-94.6792,42.7347
-94.8948,42.6365
-95.1235,40.6249
-93.7102,41.6092
-93.6368,41.6917
-93.6956,41.6066
-93.6708,41.6161
-93.7898,41.7161
-93.4855,41.6467
-93.6498,41.7321
-93.6036,41.5482
-93.7236,41.7366
-93.594,41.548
-93.7571,41.5816
-93.7066,41.6265
-93.7029,41.6148
-93.7599,41.6035
-93.7508,41.6749
-93.6091,41.5316
-93.7798,41.567
-93.6035,41.6097
-93.7999,41.7833
-93.6995,41.5981
-93.6312,41.5303
-93.7135,41.6559
-93.7247,41.7739
-93.7886,41.6738
-93.6212,41.7384
-93.6906,41.6484
-93.7818,41.576
-93.7462,41.6061
-93.735,41.6842
-93.7151,41.6047
-93.6063,41.636
-93.6432,41.6487
-93.7717,41.6073
-93.4663,41.7023
-93.4658,41.6312
-93.7057,41.6172
-93.5763,41.7731
-96.2692,42.8078
-95.9808,42.8138
-96.1571,42.7796
-95.8336,41.2853
-95.837,41.2661
-95.8173,41.2651
-95.7907,41.2425
-95.848,41.2116
-92.7578,41.8051
-92.7298,41.7553
-92.731,41.7465
-95.1602,42.3123
-95.0224,42.3024
-95.3211,41.6444
-95.0592,41.5905
-93.6174,42.0448
-93.6371,42.0604
-93.6434,42.1038
-93.4488,42.0143
-93.6267,42.0544
-93.4589,42.0274
-93.5343,41.9794
-93.6095,42.0289
-93.6511,42.1079
-93.6253,42.0517
-93.642,42.0613
-93.6741,42.0191
-93.6143,42.0381
-90.3514,41.6235
-90.6159,41.5758
-90.5438,41.6885
-90.5858,41.5264
-90.3613,41.5975
-90.4492,41.5401
-90.5845,41.5324
-90.543,41.5481
-90.499,41.5785
-90.6224,41.5078
-90.5852,41.6459
-90.5449,41.6965
-90.6072,41.5177
-90.5731,41.6514
-90.5055,41.555
-90.507,41.5885
-90.5871,41.6447
-90.6159,41.5845
-90.6319,41.5409
-90.591,41.5445
-90.4675,41.5432
-96.1567,43.127
-95.9939,42.9827
-96.0626,42.9678
-96.1795,43.1131
-92.3184,42.2169
-94.7264,40.6623
-94.9102,40.8006
-94.7303,40.6761
-94.3545,41.0654
-94.0312,40.9879
-91.8051,40.6308
-91.8051,40.629
-91.7434,40.6413
-91.7848,40.6328
-91.7421,40.6436
-94.2953,42.2788
-94.1504,42.5193
-94.1879,42.6426
-94.11,42.282
-94.1598,42.4951
-94.2791,42.5372
-96.4061,42.5108
-91.6443,43.3439
-91.802,43.2964
-91.9313,43.1422
-91.7029,43.2648
-93.5305,43.4196
-92.4044,40.958
-92.3866,41.0414
-92.4109,40.9972
-92.1931,40.9288
-93.5503,41.3286
-93.6137,41.502
-93.3859,41.4611
-93.6883,41.4405
-93.5729,41.3505
-93.666,41.4759
-93.7617,41.4854
-91.5411,41.3964
-91.7607,41.4581
-93.0642,43.3259
-93.1543,40.6815
-91.0234,40.8821
-91.0094,41.4255
-90.93944,41.09944
-90.5647,41.518
-93.4863,41.3372
-94.6355,41.5013
-96.5514,42.8258
-96.34333,42.83528
-92.7866,41.0655
-94.3052,43.0683
-93.3697,40.7041
-92.8022,42.7536
-96.0175,42.998
-93.7741,42.0208
-93.5655,41.9519
-91.2933,42.1117
-91.3027,42.0773
-93.5822,41.6774
-95.0041,41.4175
-95.0847,41.3061
-94.9222,41.7069
-91.275,40.7472
-90.91889,42.63222
-95.575,42.37
-94.0474,40.8069
-94.7244,40.6741
-94.7163,40.6608
-92.2764,41.8814
-90.4231,42.2611
-94.505,40.6188
-92.4394,40.7597
-93.8905,42.0416
-91.8183,41.1757
